"City,Public Ev Station Count ",
,
Aberdeen,",9"
Airway Heights,
"Algona,127",
"Anacortes,6",
"Arlington,29",
"Asotin,",
"Auburn,36",
",",
"Bainbridge Island,11",
"Battle Ground,",
"Bellevue,289",
"Bellingham,48",
"Benton City,3",
"Bingen,",
"Black Diamond,",
"Blaine,19",
"Bonney Lake,",
"Bothell,49",
",",
"Bremerton,21",
"Brewster,",
"Bridgeport,1",
"Brier,",
"Buckley,",
"Burien,",
"Burlington,",
"Camas,66",
"Carnation,",
"Cashmere,",
"Castle Rock,2",
"Centralia,25",
"Chehalis,",
"Chelan,7",
"Cheney,",
"Chewelah,",
"Clarkston,",
"Cle Elum,",
"Clyde Hill,",
"Colfax,",
"College Place,",
"Colville,",
"Connell,",
"Cosmopolis,",
"Covington,",
"Davenport,",
"Dayton,1",
"Deer Park,",
"Des Moines,9",
"DuPont,7",
"Duvall,65",
"East Wenatchee,3",
"Edgewood,",
"Edmonds,15",
"Electric City,",
"Ellensburg,10",
"Elma,",
"Entiat,",
"Enumclaw,",
",",
"Ephrata,",
"Everett,",
"Everson,",
"Federal Way,13",
"Ferndale,",
"Fife,11",
"Fircrest,",
"Forks,16",
"George,",
"Gig Harbor,15",
"Gold Bar,3",
"Goldendale,",
"Grand Coulee,",
"Grandview,",
"Granger,",
"Granite Falls,",
"Harrington,",
"Hoquiam,",
"Ilwaco,",
"Issaquah,59",
"Kahlotus,",
"Kalama,",
"Kelso,",
"Kenmore,3",
"Kennewick,22",
"Kent,",
"Kettle Falls,",
"Kirkland,52",
"Kittitas,",
"La Center,",
"Lacey,19",
"Lake Forest Park,",
"Lake Stevens,",
"Lakewood,27",
"Langley,7",
"Leavenworth,26",
"Liberty Lake,13",
"Long Beach,5",
"Lopez Island,14",
"Longview,4",
"Lynden,",
"Lynnwood,51",
"Mabton,",
"Maple Valley,4",
"Marysville,4",
"Mattawa,",
"McCleary,",
"Medical Lake,",
"Medina,",
"Mercer Island,31",
"Mesa,",
"Mill Creek,",
"Millwood,",
"Milton,",
"Moclips,4",
"Monroe,21",
"Montesano,",
"Morton,",
"Moses Lake,18",
"Mossyrock,",
"Mount Vernon,14",
"Mountlake Terrace,344",
"Moxee,",
"Mukilteo,7",
"Napavine,",
"Neah Bay,6",
"Newcastle,",
"Nine Mile Falls,34",
"Newport,",
"Nooksack,",
"Normandy Park,",
"North Bend,16",
"North Bonneville,",
"Oak Harbor,4",
"Oakville,",
"Ocean Shores,",
"Okanogan,",
"Olympia,72",
"Omak,2",
"Oroville,",
"Orting,",
"Othello,",
"Pacific,",
",",
"Palouse,",
"Pasco,7",
"Pateros,1",
"Pomeroy,",
"Port Angeles,21",
"Port Orchard,5",
"Port Townsend,14",
"Poulsbo,14",
"Prescott,",
"Prosser,",
"Pullman,14",
"Puyallup,25",
"Quincy,5",
"Rainier,",
"Raymond,",
"Redmond,39",
"Renton,79",
"Republic,1",
"Richland,10",
"Ridgefield,12",
"Ritzville,9",
"Rock Island,",
"Rosalia,4",
"Roslyn,",
"Roy,",
"Royal City,",
"Ruston,",
"Sammamish,16",
"SeaTac,18",
"Seattle,724",
"Seaview,2",
"Sedro-Woolley,",
"Selah,",
"Sequim,17",
"Shelton,3",
"Shoreline,16",
"Silverdale,8",
"Skykomish,6",
"Snohomish,11",
"Snoqualmie,5",
"Snoqualmie Pass,2",
"Soap Lake,",
"South Bend,",
"Spangle,",
"Spokane,135",
"Spokane Valley,19",
"Sprague,",
"Stanwood,",
"Stevenson,12",
"Sultan,2",
"Sumas,",
"Sumner,3",
"Sunnyside,",
"Suquamish,4",
"Tacoma,110",
"Tekoa,",
"Tenino,",
"Tieton,",
"Toledo,",
"Tonasket,1",
"Toppenish,",
"Tukwila,36",
"Tumwater,21",
"Twisp,1",
"Union Gap,3",
"University Place,148",
"Vader,",
"Vancouver,114",
"Waitsburg,",
"Walla Walla,23",
"Wapato,",
"Warden,",
"Washougal,",
"Wenatchee,32",
"West Richland,",
"Westport,3",
"White Salmon,",
"Winlock,",
"Winthrop,6",
"Woodinville,18",
"Woodland,1",
",",
"Woodway,",
"Yakima,25",
"Yelm,",
"Zillah,",
